127.0.0.1 - - [25/Jul/2024:10:17:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jul/2024:10:17:42 +0900] "GET /Blog/list.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [25/Jul/2024:10:17:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jul/2024:10:35:29 +0900] "GET /Blog/list.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [25/Jul/2024:10:37:11 +0900] "GET /Blog/list.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [25/Jul/2024:10:37:29 +0900] "GET /Blog/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2024:10:37:36 +0900] "GET /Blog/list.jsp?text=add HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [25/Jul/2024:10:37:44 +0900] "GET /Blog/list.jsp?text=add HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [25/Jul/2024:10:37:57 +0900] "GET /Blog/list.jsp?text=add HTTP/1.1" 200 281
